L0,L1,L2,Graph
0.027923584,-0.28070533,,
0.936677,0.38082612,,
-0.67065287,-0.7988362,,
0.47028852,-0.54205024,,
-0.2925817,0.11957502,,
0.47935522,-0.025572447,,
0.34644994,0.49608552,,
0.013749361,-0.35964286,,
0.82602596,0.08345842,,
-0.4389993,-0.8925353,,
0.63589275,0.8498273,,
-0.38361675,-0.8007088,,
0.1318332,-0.31354392,,
-0.38661253,0.41665256,,
-0.059104204,-0.20867217,,
0.7480203,0.33977568,,
-0.94676995,0.859028,,
0.18868756,-0.12731075,,
0.47717583,0.09786999,,
-0.6507484,0.19615221,,
-0.96958685,0.9850998,,
-0.6176424,0.6992786,,
0.4526248,-0.7267844,,
0.4134947,0.412709,,
-0.13037467,-0.5887282,,
-0.3487072,0.77659774,,
0.3304888,-0.5296887,,
-0.7290983,-0.7021985,,
-0.20797873,0.7459625,,
-0.14293134,0.33346608,,
0.6495878,0.0070109665,,
0.31240213,-0.5600808,,
-0.7669463,0.9926877,,
-0.20734715,-0.6207268,,
0.8047339,0.028851144,,
0.27146435,-0.4347123,,
-0.82206595,-1.0,,
0.8165922,-0.95278966,,
0.86876404,0.29783368,,
0.85653377,0.8656137,,
-0.78020906,0.587275,,
-0.31467697,-0.110100985,,
-0.40317273,0.40761316,,
-0.8984829,-0.9917784,,
0.82977986,0.46298015,,
0.14309585,0.8252167,,
-0.07478225,0.5501957,,
0.42650235,0.20282066,,
-0.9694735,0.14991832,,
-0.51237667,-0.800395,,
-0.028311014,-0.30604562,,
-0.24465287,-0.8755667,,
1.0,0.7631091,,
0.48409724,-0.25652257,,
0.77692676,0.58381593,,
-0.50760365,1.0,,
0.9567132,0.90088415,,
-0.90182483,-0.631003,,
0.62354374,0.8432771,,
0.60123956,0.5335066,,
0.051749587,-0.4635111,,
0.8272221,-0.8445687,,
0.55058146,0.09100171,,
0.9641807,0.44704643,,
-0.1679287,-0.28698987,,
-0.79989207,0.46788973,,
0.14540005,-0.5839952,,
1.0,0.9023814,,
-0.02308631,-0.2960745,,
-0.07310414,-0.5217237,,
0.5533086,0.6595553,,
-0.33022428,-0.1988802,,
-0.89769995,1.0,,
-0.73647964,0.41352403,,
-0.8035508,0.16497982,,
0.62559915,0.40945482,,
-0.64361125,-0.7616029,,
-0.80285656,-0.13000631,,
-0.7901003,-0.9629735,,
-0.38518906,0.954816,,
-0.4792397,0.6227007,,
0.7745183,0.21735322,,
-0.9985851,0.20741943,,
-0.80777526,-0.38874942,,
0.16940045,0.72887385,,
-0.68319666,0.43174577,,
-0.9516581,-0.50457966,,
-0.14935076,-0.7766669,,
-0.8041856,0.46591353,,
-0.23335814,0.12951374,,
0.20197695,0.12643182,,
0.45771348,-0.026985407,,
-0.78109264,0.7025008,,
0.5896366,-0.48515236,,
0.89481974,0.081240654,,
-0.34166276,-0.8272877,,
0.80419016,0.6480671,,
0.7347832,-0.5557015,,
-0.48928845,0.09005928,,
-0.3176589,0.36518753,,
-0.39416313,0.12807238,,
-0.8991933,0.18524088,,
0.98684394,-0.8567053,,
-0.064275384,0.8756813,,
0.14507696,0.74763334,,
-0.8566457,-0.17017472,,
-0.624565,-0.6957462,,
0.050033465,0.37260842,,
0.062354445,-0.90876377,,
-0.230183,-0.7399883,,
-0.48142076,-0.37084424,,
0.6730709,0.5952656,,
0.89843655,-0.66724646,,
-0.35183844,0.58551574,,
-0.32225502,0.48157442,,
2.6929379E-4,0.27791363,,
-0.91131306,0.23796335,,
-0.62004375,0.33482063,,
-0.43567458,0.83370864,,
0.773448,-0.18536091,,
0.50610864,-0.29136062,,
-0.8931057,,,
-0.5301988,,,
0.3049763,,,
-0.6432047,,,
0.1877501,,,
0.9851389,,,
-0.5659622,,,
-0.3303504,,,
-0.7392534,,,
-0.18295456,,,
-0.9939697,,,
0.16680253,,,
0.47470403,,,
0.55931795,,,
-0.65351593,,,
-0.7589991,,,
-0.6192436,,,
-0.07237911,,,
-0.60075414,,,
-0.29682034,,,
0.107860565,,,
-0.2714666,,,
0.7596905,,,
-0.16514587,,,
-0.9015583,,,
0.06664407,,,
0.7106736,,,
0.4495842,,,
0.7176421,,,
0.428716,,,
-0.30275667,,,
-0.4367596,,,
-0.3125193,,,
-0.16120124,,,
-0.3775327,,,
-0.5202029,,,
0.006320119,,,
-0.1666305,,,
0.5647973,,,
-0.676484,,,
-0.6806071,,,
-0.8294209,,,
-0.5066881,,,
-0.7171376,,,
-0.56155324,,,
-0.6226083,,,
-0.47634983,,,
-0.48812854,,,
-0.7866851,,,
0.48784542,,,
-0.38539755,,,
-0.019083977,,,
-0.99023247,,,
0.743273,,,
-0.5599259,,,
1.0,,,
-0.86945176,,,
0.10107148,,,
-0.06391752,,,
-0.13379407,,,
-0.036471605,,,
0.33827233,,,
-0.3070836,,,
0.18269749,,,
-0.8101475,,,
-0.7050667,,,
-0.25040388,,,
0.1289612,,,
-0.58061635,,,
-0.024830222,,,
-0.9585948,,,
-0.83199894,,,
-0.7967557,,,
-0.7300601,,,
0.86031973,,,
-0.9149184,,,
-0.7323643,,,
-0.5621381,,,
-0.37802318,,,
0.35800177,,,
-0.96402156,,,
0.31834066,,,
0.07215905,,,
-0.22409296,,,
0.31311548,,,
0.7418493,,,
-0.92090154,,,
0.8609693,,,
-0.37159252,,,
0.782128,,,
-0.20398104,,,
0.84122026,,,
0.5733291,,,
-0.43822944,,,
-0.8178637,,,
-0.5078151,,,
-0.19526815,,,
-0.9973215,,,
-0.20770776,,,
0.22682405,,,
-0.25270832,,,
0.79796934,,,
-0.03903866,,,
0.5080097,,,
0.8394089,,,
0.77838707,,,
0.08709407,,,
-0.30933326,,,
-0.15220495,,,
0.029468775,,,
0.6753789,,,
0.20812654,,,
-0.8000502,,,
-0.23269212,,,
-0.18738294,,,
-0.49920094,,,
-0.8207762,,,
-0.3113799,,,
-0.09830606,,,
0.53903675,,,
-0.8299599,,,
0.7690922,,,
-0.9806788,,,
-1.0,,,
-0.5609585,,,
0.19308197,,,
0.9682268,,,
-0.1463221,,,
